"Classifier","Mean precision","Mean recall","Precisions","Recalls"
"SVM","0.920276976456","0.490841103341","[ 0.94285714  0.97752809  0.9673913   0.92982456  0.78378378]","[ 0.45833333  0.60416667  0.61805556  0.36805556  0.40559441]"
"DECISION_TREE","0.892329308119","0.539491064491","[ 0.89772727  0.95959596  0.95789474  0.87142857  0.775     ]","[ 0.54861111  0.65972222  0.63194444  0.42361111  0.43356643]"
"RANDOM_FOREST","0.890987844704","0.560324397824","[ 0.89772727  0.95959596  0.95789474  0.87142857  0.76829268]","[ 0.54861111  0.65972222  0.73611111  0.42361111  0.43356643]"
"LOGISTIC_REGRESSION","0.89548190069","0.50337024087","[ 0.8875      0.96703297  0.9673913   0.88333333  0.7721519 ]","[ 0.49305556  0.61111111  0.61805556  0.36805556  0.42657343]"
