"Classifier","Mean precision","Mean recall","Precisions","Recalls"
"SVM","0.95055276918","0.704827586207","[ 0.96907216  0.98989899  0.96330275  0.97222222  0.85826772]","[ 0.64827586  0.67586207  0.72413793  0.72413793  0.75172414]"
"DECISION_TREE","0.927420541066","0.732413793103","[ 0.97058824  0.92173913  0.95454545  0.95689655  0.83333333]","[ 0.68275862  0.73103448  0.72413793  0.76551724  0.75862069]"
"RANDOM_FOREST","0.927283241295","0.739310344828","[ 0.97058824  0.92105263  0.95454545  0.95689655  0.83333333]","[ 0.68275862  0.73793103  0.75862069  0.76551724  0.75172414]"
"LOGISTIC_REGRESSION","0.949840602908","0.702068965517","[ 0.95        0.98979592  0.94642857  0.97222222  0.8907563 ]","[ 0.65517241  0.66896552  0.73103448  0.72413793  0.73103448]"
"NEURAL_NETWORK","0.926477775167","0.718620689655","[ 0.95098039  0.92105263  0.95454545  0.97247706  0.83333333]","[ 0.66896552  0.71034483  0.72413793  0.73103448  0.75862069]"
