"Classifier","Mean precision","Mean recall","Precisions","Recalls"
"SVM","0.94648321192","0.703764997014","[0.93805309734513276, 0.94392523364485981, 0.96078431372549022, 0.91743119266055051, 0.97222222222222221]","[0.73103448275862071, 0.72142857142857142, 0.67586206896551726, 0.70422535211267601, 0.68627450980392157]"
"DECISION_TREE","0.932173383443","0.722473299661","[0.93684210526315792, 0.96116504854368934, 0.94782608695652171, 0.87704918032786883, 0.93798449612403101]","[0.67938931297709926, 0.69230769230769229, 0.73648648648648651, 0.71333333333333337, 0.79084967320261434]"
"RANDOM_FOREST","0.924552094411","0.7350989357","[0.890625, 0.8928571428571429, 0.92741935483870963, 0.9375, 0.97435897435897434]","[0.78082191780821919, 0.71942446043165464, 0.7931034482758621, 0.68702290076335881, 0.69512195121951215]"
"LINEAR_REGRESSION","0.968183533683","0.666140052057","[0.96153846153846156, 0.96590909090909094, 1.0, 0.96610169491525422, 0.94736842105263153]","[0.7407407407407407, 0.64885496183206104, 0.65957446808510634, 0.64772727272727271, 0.63380281690140849]"
"LOGISTIC_REGRESSION","0.9470059608","0.701505346873","[0.93069306930693074, 0.97499999999999998, 0.94285714285714284, 0.9375, 0.94897959183673475]","[0.65734265734265729, 0.71779141104294475, 0.75572519083969469, 0.67741935483870963, 0.6992481203007519]"
"NEURAL_NETWORK","0.915910731939","0.726713602442","[0.93805309734513276, 0.88888888888888884, 0.92105263157894735, 0.95867768595041325, 0.8728813559322034]","[0.71140939597315433, 0.76190476190476186, 0.68181818181818177, 0.76315789473684215, 0.71527777777777779]"
